id,text,pos
1218,almužna,N
1219,alobal,N
1220,alokace,N
1221,alokovat,V
1222,alpaka,N
1223,alternace,N
1224,alternativně,D
1225,alternátor,N
1226,altruismus,N
1227,altán,N
1228,altánek,N
1229,aluminium,N
1230,amalgám,N
1231,amant,N
1232,amarant,N
1233,amatér,N
1234,amatérismus,N
1235,amatérský,A
1236,amazonka,N
1237,ambasador,N
1238,ambasáda,N
1239,ambice,N
1240,ambiciozní,A
1241,ambiciózní,A
1242,ambientní,A
1243,ambivalentní,A
1244,ambrózie,N
1245,ambulance,N
1246,ambulantní,A
1247,ambulantně,D
1248,amen,N
1249,amfetamin,N
1250,amfiteátr,N
1251,amfora,N
1252,amnestie,N
1253,amnézie,N
1254,amok,N
1255,amoniak,N
1256,amor,N
1257,amortizace,N
1258,amplituda,N
1259,amplión,N
1260,ampule,N
1261,ampulka,N
1262,amputace,N
1263,amputovaný,A
1264,amulet,N
1265,anabolikum,N
1266,anabáze,N
1267,anachronismus,N
1268,analfabet,N
1269,analgetikum,N
1270,analgezie,N
1271,analog,N
1272,analogicky,D
1273,analogický,A
1274,analogie,N
1275,analogový,A
1276,analytický,A
1277,analytik,N
1278,analytička,N
1279,analyzování,N
1280,analyzátor,N
1281,analýza,N
1282,anamnéza,N
1283,ananas,N
1284,anarchie,N
1285,anarchismus,N
1286,anarchista,N
1287,anatom,N
1288,anatomický,A
1289,anatomie,N
1290,android,N
1291,andulka,N
1292,anděl,N
1293,andělíček,N
1294,anekdota,N
1295,anekdotický,A
1296,anektovat,V
1297,anestetikum,N
1298,anestezie,N
1299,anesteziolog,N
1300,anesteziologie,N
1301,angažmá,N
1302,angažovanost,N
1303,angažovaný,A
1304,angažovat,V
1305,angrešt,N
1306,angína,N
1307,animace,N
1308,animační,A
1309,animovat,V
1310,animozita,N
1311,animální,A
1312,aniont,N
1313,anketní,A
1314,anomálie,N
1315,anonym,N
1316,anonymita,N
1317,anonymní,A
1318,anonymně,D
1319,anorganický,A
1320,anotace,N
1321,antagonismus,N
1322,antagonista,N
1323,antibakteriální,A
1324,antibiotický,A
1325,antibiotikum,N
1326,antidepresivum,N
1327,antigen,N
1328,antihmota,N
1329,antihrdina,N
1330,antika,N
1331,antikoncepce,N
1332,antikoncepční,A
1333,antikorozní,A
1334,antikvariát,N
1335,antikvář,N
1336,antilopa,N
1337,antipatie,N
1338,antiperspirant,N
1339,antistresový,A
1340,antivirový,A
1341,antivirus,N
1342,antologie,N
1343,antolog,N
1344,antropogenní,A
1345,antropolog,N
1346,antropologický,A
1347,antropoložka,N
1348,antuka,N
1349,antukový,A
1350,antukář,N
1351,anténa,N
1352,anténní,A
1353,anulovat,V
1354,anulování,N
1355,anály,N
1356,anémie,N
1357,ančovička,N
1358,aorta,N
1359,aparatura,N
1360,aparát,N
1361,apartmá,N
1362,apartmán,N
1363,apartmánový,A
1364,apatický,A
1365,apatie,N
1366,apatyka,N
1367,apel,N
1368,apelovat,V
1369,apendix,N
1370,apetit,N
1371,aplaus,N
1372,aplikace,N
1373,aplikační,A
1374,aplikovat,V
1375,aplikovatelný,A
1376,aplikování,N
1377,aplikátor,N
1378,apokalypsa,N
1379,apokalyptický,A
1380,apolitický,A
1381,apoštol,N
1382,apriorní,A
1383,aragonitový,A
1384,aranž,N
1385,aranžmá,N
1386,aranžovací,A
1387,aranžovaný,A
1388,aranžování,N
1389,aranžér,N
1390,aranžérka,N
1391,aranžérský,A
1392,arašíd,N
1393,arašídový,A
1394,arbitr,N
1395,arbitráž,N
1396,arbitrážní,A
1397,arboretum,N
1398,arborista,N
1399,arch,N
1400,archa,N
1401,archeolog,N
1402,archeologicky,D
1403,archeologický,A
1404,archeologie,N
1405,archeoložka,N
1406,archeopark,N
1407,archetyp,N
1408,architekt,N
1409,architektka,N
1410,architektura,N
1411,architektův,A
1412,archiv,N
1413,archivnictví,N
1414,archivní,A
1415,archiválie,N
1416,archivář,N
1417,arcibiskupský,A
1418,arcibiskupství,N
1419,arcidiecéze,N
1420,arcidiecézní,A
1421,arcivévoda,N
1422,area,N
1423,aretace,N
1424,areál,N
1425,argan,N
1426,arganový,A
1427,argon,N
1428,argument,N
1429,argumentace,N
1430,argumentační,A
1431,aristokracie,N
1432,aristokrat,N
1433,aristokratka,N
1434,aritmetický,A
1435,aritmetika,N
1436,armáda,N
1437,armádní,A
1438,arnika,N
1439,arogance,N
1440,arogantní,A
1441,aroma,N
1442,aromalampa,N
1443,aromaterapie,N
1444,aromatický,A
1445,arsen,N
1446,artefakt,N
1447,arteterapie,N
1448,artikl,N
1449,artikulovaný,A
1450,artikulovat,V
1451,artista,N
1452,artkino,N
1453,artritida,N
1454,artroskopický,A
1455,artróza,N
1456,artyčok,N
1457,arytmie,N
1458,arzenál,N
1459,aréna,N
1460,aróma,N
1461,asambláž,N
1462,asanace,N
1463,asanační,A
1464,asertivita,N
1465,asfalt,N
1466,asfaltka,N
1467,asfaltový,A
1468,asimilace,N
1469,asimilovat,V
1470,asistence,N
1471,asistent,N
1472,asistentka,N
1473,asistentský,A
1474,asistenční,A
1475,asketa,N
1476,asociace,N
1477,asociační,A
1478,asociovaný,A
1479,asonance,N
1480,aspekt,N
1481,aspik,N
1482,aspirace,N
1483,aspirant,N
1484,astigmatismus,N
1485,astma,N
1486,astmatický,A
1487,astmatik,N
1488,astra,N
1489,astrofyzik,N
1490,astrofyzika,N
1491,astrolog,N
1492,astrologie,N
1493,astroložka,N
1494,astronaut,N
1495,astronom,N
1496,astronomie,N
1497,asymetricky,D
1498,asymetrie,N
1499,asymptomatický,A
1500,asynchronní,A
1501,atak,N
1502,ataka,N
1503,atašé,N
1504,ateista,N
1505,ateistický,A
1506,ateliér,N
1507,ateliérový,A
1508,atentát,N
1509,atentátnice,N
1510,atentátník,N
1511,atest,N
1512,atestace,N
1513,atestační,A
1514,atestovaný,A
1515,atlas,N
1516,atlet,N
1517,atletika,N
1518,atletka,N
1519,atmosféra,N
1520,atmosférický,A
1521,atol,N
1522,atom,N
1523,atomovka,N
1524,atrakce,N
1525,atraktivita,N
1526,atraktivnost,N
1527,atraktivní,A
1528,atraktivně,D
1529,atribut,N
1530,atrofie,N
1531,audience,N
1532,audio,A
1533,audiokazeta,N
1534,audiokniha,N
1535,audionahrávka,N
1536,audiosystém,N
1537,audiovize,N
1538,audiovizuální,A
1539,audiozáznam,N
1540,audit,N
1541,auditní,A
1542,auditor,N
1543,auditorium,N
1544,auditorský,A
1545,auditovaný,A
1546,aukce,N
1547,aukční,A
1548,aula,N
1549,aura,N
1550,autenticky,D
1551,autentizace,N
1552,autentizační,A
1553,autentičnost,N
1554,auto,N
1555,autoatlas,N
1556,autobaterie,N
1557,autobazar,N
1558,autobiografie,N
1559,autobus,N
1560,autobusový,A
1561,autodoprava,N
1562,autodopravce,N
1563,autodrom,N
1564,autodráha,N
1565,autodíl,N
1566,autodílna,N
1567,autogram,N
1568,autogramiáda,N
1569,autokemp,N
1570,autokino,N
1571,automat,N
1572,automaticky,D
1573,automatický,A
1574,automatika,N
1575,automatismus,N
1576,automatizace,N
1577,automobil,N
1578,automobilka,N
1579,automobilní,A
1580,automotodrom,N
1581,autonehoda,N
1582,autonomie,N
1583,autopilot,N
1584,autoportrét,N
1585,autopůjčovna,N
1586,autor,N
1587,autorita,N
1588,autoritářský,A
1589,autorizační,A
1590,autorizovaný,A
1591,autorka,N
1592,autorsky,D
1593,autorský,A
1594,autorství,N
1595,autosalon,N
1596,autoservis,N
1597,autostráda,N
1598,autoveterán,N
1599,autovrak,N
1600,autoškola,N
1601,autíčko,N
1602,avantgarda,N
1603,avanti,I
1604,averze,N
1605,aviatický,A
1606,aviatik,N
1607,aviatika,N
1608,avizovat,V
1609,avokádo,N
1610,avšak,J
1611,axiom,N
1612,axiální,A
1613,azalka,N
1614,azbest,N
1615,azbestový,A
1616,azbuka,N
1617,azimut,N
1618,azurový,A
1619,azyl,N
1620,azylant,N
1621,azylový,A
1622,babeta,N
1623,babička,N
1624,babočka,N
1625,babrat,V
1626,bachař,N
1627,bachor,N
1628,bachyně,N
1629,bacil,N
1630,badatel,N
1631,badatelka,N
1632,badminton,N
1633,badmintonový,A
1634,badyán,N
1635,bageta,N
1636,bagr,N
1637,bagrista,N
1638,bagrování,N
1639,bagrovat,V
1640,bahenní,A
1641,bahnice,N
1642,bahnitý,A
1643,bahno,N
1644,bajonet,N
1645,bakalář,N
1646,bakalářský,A
1647,bakelit,N
1648,bakelitový,A
1649,baklažán,N
1650,bakterie,N
1651,bakteriální,A
1652,balada,N
1653,balamutit,V
1654,balanc,N
1655,balancovat,V
1656,balancování,N
1657,balancující,A
1658,balanční,A
1659,balast,N
1660,balastní,A
1661,baldachýn,N
1662,balení,N
1663,balený,A
1664,balerína,N
1665,balet,N
1666,baletka,N
1667,baletní,A
1668,balicí,A
1669,balistika,N
1670,balit,V
1671,balkán,N
1672,balkón,N
1673,balkónek,N
1674,balkónový,A
1675,balon,N
1676,balonek,N
1677,balonkový,A
1678,balonový,A
1679,balustráda,N
1680,balzamikový,A
1681,balzám,N
1682,balík,N
1683,balírna,N
1684,balíček,N
1685,balíčkový,A
1686,bambitka,N
1687,bambus,N
1688,bambusový,A
1689,banalita,N
1690,banda,N
1691,bandaska,N
1692,bandita,N
1693,bandáž,N
1694,bank,N
1695,banka,N
1696,banket,N
1697,bankomat,N
1698,bankovnictví,N
1699,bankovní,A
1700,bankrot,N
1701,bankrotový,A
1702,bankrotující,A
1703,bankéř,N
1704,bankéřka,N
1705,banální,A
1706,banálně,D
1707,banán,N
1708,banánovník,N
1709,baobab,N
1710,baptista,N
1711,barabizna,N
1712,barbar,N
1713,barbarský,A
1714,barbarství,N
1715,barel,N
1716,baret,N
1717,barevnost,N
1718,barevný,A
1719,barevně,D
1720,barikáda,N
1721,barikádník,N
1722,barista,N
1723,bariéra,N
1724,barman,N
1725,barmanka,N
1726,barokní,A
1727,baroko,N
1728,barometr,N
1729,baron,N
1730,baronka,N
1731,barva,N
1732,barvený,A
1733,barvit,V
1734,barvitý,A
1735,barvivo,N
1736,barvička,N
1737,baryton,N
1738,barytonista,N
1739,barák,N
1740,baráček,N
1741,baráčník,N
1742,baráž,N
1743,basa,N
1744,baseball,N
1745,baset,N
1746,basista,N
1747,basket,N
1748,basketbal,N
1749,basketbalový,A
1750,baskytarista,N
1751,bastion,N
1752,batalion,N
1753,baterie,N
1754,bateriový,A
1755,baterka,N
1756,batikovaný,A
1757,batikování,N
1758,batoh,N
1759,batole,N
1760,batolecí,A
1761,batát,N
1762,batůžek,N
1763,bavit,V
1764,bavič,N
1765,bavlna,N
1766,bavlnka,N
1767,bavlněný,A
1768,bazalka,N
1769,bazalkový,A
1770,bazar,N
1771,bazarový,A
1772,bazilika,N
1773,bazilišek,N
1774,bazální,A
1775,bazén,N
1776,bazének,N
1777,bazénový,A
1778,bazírovat,V
1779,bača,N
1780,bačkora,N
1781,bačkůrka,N
1782,baňka,N
1783,bašta,N
1784,baštit,V
1785,bažant,N
1786,bažantnice,N
1787,bažina,N
1788,bažinatý,A
1789,bdít,V
1790,bdělost,N
1791,bdělý,A
1792,bedekr,N
1793,bederní,A
1794,bedla,N
1795,bedlivě,D
1796,bedna,N
1797,bednička,N
1798,bedra,N
1799,bedýnka,N
1800,begonie,N
1801,benefice,N
1802,benevolence,N
1803,benjamínek,N
1804,benzen,N
1805,benzin,N
1806,benzinka,N
1807,beran,N
1808,beranice,N
1809,beranidlo,N
1810,berle,N
1811,berlička,N
1812,beruška,N
1813,beránek,N
1814,beránky,N
1815,berňák,N
1816,beseda,N
1817,bestie,N
1818,bestiář,N
1819,besídka,N
1820,beton,N
1821,betonovat,V
1822,betonování,N
1823,betonový,A
1824,betonárna,N
1825,betonářský,A
1826,betonáž,N
1827,bezbariérový,A
1828,bezbarvý,A
1829,bezbolestný,A
1830,bezbolestně,D
1831,bezbranný,A
1832,bezbrannost,N
1833,bezbřehý,A
1834,bezcenný,A
1835,bezchybný,A
1836,bezchybně,D
1837,bezcitnost,N
1838,bezcitný,A
1839,bezcílný,A
1840,bezcílně,D
1841,bezdomovec,N
1842,bezdomovectví,N
1843,bezdomovkyně,N
1844,bezdrátový,A
1845,bezdrátově,D
1846,bezdůvodný,A
1847,bezdůvodně,D
1848,bezedný,A
1849,bezejmenný,A
1850,bezesný,A
1851,bezešvý,A
1852,bezhlavý,A
1853,bezhlavě,D
1854,bezhotovostní,A
1855,bezhotovostně,D
1856,bezinka,N
1857,bezinkový,A
1858,bezkonfliktní,A
1859,bezkonkurenční,A
1860,bezkontaktní,A
1861,bezlepkový,A
1862,bezmezný,A
1863,bezmezně,D
1864,bezmoc,N
1865,bezmocnost,N
1866,bezmocný,A
1867,bezmotorový,A
1868,beznaděj,N
1869,beznadějně,D
1870,bezobratlý,A
1871,bezodkladný,A
1872,bezodkladně,D
1873,bezohlednost,N
1874,bezohledný,A
1875,bezohledně,D
1876,bezostyšně,D
1877,bezpečný,A
1878,bezpilotní,A
1879,bezplatný,N
1880,bezplatně,D
1881,bezpochyby,D
1882,bezproblémový,A
1883,bezprostřednost,N
1884,bezprostřední,A
1885,bezpředmětný,A
1886,bezradný,A
1887,bezradně,D
1888,bezrizikový,A
1889,bezstarostnost,N
1890,bezstarostný,A
1891,bezstarostně,D
1892,beztrestnost,N
1893,beztrestný,A
1894,beztvarý,A
1895,bezva,A
1896,bezvládně,D
1897,bezvládí,N
1898,bezvýchodný,A
1899,bezvýhradný,A
1900,bezvýznamnost,N
1901,bezvýznamný,A
1902,bezvědomí,N
1903,bezvěrec,N
1904,bezvětří,N
1905,bezúdržbový,A
1906,bezúhonnost,N
1907,bezúplatný,A
1908,bezúplatně,D
1909,bezúročný,A
1910,bezúspěšný,A
1911,bezúspěšně,D
1912,bezútěšný,A
1913,bezúčelný,A
1914,bezčasí,N
1915,bečka,N
1916,bešamel,N
1917,biatlon,N
1918,biatlonista,N
1919,biatlonistka,N
1920,biatlonový,A
1921,bible,N
1922,bibliografie,N
1923,bibliotéka,N
1924,biceps,N
1925,bicí,A
1926,bidet,N
1927,bidlo,N
1928,bidýlko,N
1929,bienále,N
1930,biflovat,V
1931,biflování,N
1932,biftek,N
1933,bijící,A
1934,biker,N
1935,bikiny,N
1936,bilance,N
1937,bilancovat,V
1938,bilancování,N
1939,bilaterální,A
1940,bilingvní,A
1941,bilirubin,N
1942,biliár,N
1943,biliárový,A
1944,bilión,N
1945,billboard,N
1946,bingo,N
1947,binární,A
1948,biochemie,N
1949,biodiverzita,N
1950,biofarma,N
1951,biograf,N
1952,biografický,A
1953,biografie,N
1954,biolog,N
1955,biologie,N
1956,bioodpad,N
1957,biopalivo,N
1958,biopotravina,N
1959,bioprodukt,N
1960,biopsie,N
1961,biorytmus,N
1962,biosféra,N
1963,biosférický,A
1964,biotop,N
1965,bipolární,A
1966,bisexuál,N
1967,biskup,N
1968,biskupství,N
1969,bistro,N
1970,bitka,N
1971,bitkař,N
1972,bitový,A
1973,bitva,N
1974,bitý,A
1975,bivak,N
1976,bivakovat,V
1977,bizarnost,N
1978,bizarně,D
1979,bizarní,A
1980,bizon,N
1981,bičovat,V
1982,bičování,N
1983,bičík,N
1984,biřmování,N
1985,bižuterie,N
1986,blaf,N
1987,blahobyt,N
1988,blahobytný,A
1989,blahodárný,A
1990,blahopřání,N
1991,blahopřát,V
1992,blahořečit,V
1993,blahý,A
1994,blamáž,N
1995,blankytný,A
1996,blatník,N
1997,blatný,A
1998,blato,N
1999,blaze,D
2000,blažený,A
2001,blaženě,D
2002,blbý,A
2003,blbě,D
2004,bledule,N
2005,bledě,D
2006,bledý,A
2007,blesk,N
2008,blesknout,V
2009,bleskosvod,N
2010,bleskový,A
2011,bleskurychle,D
2012,bleskurychlý,A
2013,blikající,A
2014,blikanec,N
2015,blikat,A
2016,bliknout,V
2017,blikání,N
2018,bližní,N
2019,blog,N
2020,blogerka,N
2021,bloger,N
2022,blogovat,V
2023,blok,N
2024,blokace,N
2025,blokační,A
2026,blokař,N
2027,blokařka,N
2028,blokovat,V
2029,blokový,A
2030,blokáda,N
2031,blokátor,N
2032,blond,A
2033,bloudit,V
2034,blouznit,V
2035,blouznění,N
2036,blud,N
2037,bludička,N
2038,bludiště,N
2039,bludný,A
2040,bluma,N
2041,blyštit,V
2042,blyštivý,A
2043,blábol,N
2044,bláhový,A
2045,bláhově,D
2046,blána,N
2047,bláto,N
2048,blázen,N
2049,bláznit,V
2050,bláznivě,D
2051,bláznovství,N
2052,blízce,D
2053,blízko,R
2054,blízkost,N
2055,blíž,R
2056,blíženec,N
2057,blížit,V
2058,blýsknout,V
2059,blýskat,V
2060,blýskání,N
2061,blůza,N
2062,blůzka,N
2063,bobek,N
2064,bobovat,V
2065,bobování,N
2066,bobový,A
2067,bobr,N
2068,bobtnající,A
2069,bobtnat,V
2070,bobule,N
2071,bobulka,N
2072,boby,N
2073,bochník,N
2074,bochánek,N
2075,bodat,V
2076,bodec,N
2077,bodlina,N
2078,bodlák,N
2079,bodnout,V
2080,bodnutí,N
2081,bodný,A
2082,bodovací,A
2083,bodovat,V
2084,bodující,A
2085,bodák,N
2086,bodík,N
2087,bohabojný,A
2088,bohapustý,A
2089,bohatnout,V
2090,bohatost,N
2091,bohatý,A
2092,bohatýr,N
2093,bohatýrský,A
2094,bohatě,D
2095,bohemista,N
2096,bohemistika,N
2097,bohoslužba,N
2098,bohoslužebný,A
2099,bohulibý,A
2100,boháč,N
2101,bohém,N
2102,bohéma,N
2103,bohémský,A
2104,bojiště,N
2105,bojkot,N
2106,bojkotovat,V
2107,bojler,N
2108,bojovat,V
2109,bojovka,N
2110,bojovnice,N
2111,bojovnost,N
2112,bojovník,N
2113,bojovný,A
2114,bojovně,D
2115,bojový,A
2116,bojující,A
2117,bojůvka,N
2118,boka,N
2119,bokem,D
2120,bokovka,N
2121,bolehlav,N
2122,bolero,N
2123,bolest,N
2124,bolestivost,N
2125,bolestivý,A
2126,bolestivě,D
2127,bolestné,N
2128,bolestný,A
2129,bolestně,D
2130,boltec,N
2131,bolístka,N
2132,bomba,N
2133,bombardovat,V
2134,bombardování,N
2135,bombardér,N
2136,bombastický,A
2137,bombička,N
2138,bombový,A
2139,bonboniéra,N
2140,bonbón,N
2141,bongo,N
2142,bonifikace,N
2143,bonita,N
2144,bonsaj,N
2145,bonus,N
2146,bonusový,A
2147,bonviván,N
2148,bordel,N
2149,bordó,N
2150,borec,N
2151,borelióza,N
2152,borovice,N
2153,bortící,A
2154,bortit,V
2155,borůvka,N
2156,borůvkový,A
2157,borůvčí,N
2158,bosky,D
2159,bota,N
2160,botanický,A
2161,botanik,N
2162,botaska,N
2163,botička,N
2164,botka,N
2165,botník,N
2166,bouchačka,N
2167,bouchnutí,N
2168,bouchnout,V
2169,bouchání,N
2170,bouda,N
2171,boudička,N
2172,boule,N
2173,bourací,A
2174,bouraný,A
2175,bourat,V
2176,bouračka,N
2177,bourák,N
2178,bouře,N
2179,bouřit,V
2180,bouřka,N
2181,bouřkový,A
2182,bouřlivák,N
2183,bouřlivý,A
2184,bouřlivě,D
2185,bouřící,A
2186,bowling,N
2187,boxer,N
2188,boxerka,N
2189,boxing,N
2190,boxovací,A
2191,boxovat,V
2192,bočnice,N
2193,boční,A
2194,bočně,D
2195,boření,N
2196,bořit,V
2197,božsky,D
2198,božský,A
2199,božstvo,N
2200,božství,N
2201,brabec,N
2202,brach,N
2203,brada,N
2204,bradavice,N
2205,bradavka,N
2206,bradlo,N
2207,brak,N
2208,brambor,N
2209,brambora,N
2210,bramboračka,N
2211,bramborový,A
2212,bramborák,N
2213,brambořík,N
2214,brambůrek,N
2215,branec,N
2216,branka,N
2217,brankoviště,N
2218,brankový,A
2219,brankově,D
2220,brankář,N
2221,brankářka,N
2222,braní,N
2223,branže,N
2224,bratr,N
2225,bratranec,N
2226,bratrský,A
2227,bratrstvo,N
2228,bratrství,N
2229,bratránek,N
2230,bratříček,N
2231,bravo,I
2232,bravurně,D
2233,brašna,N
2234,brečet,V
2235,brigáda,N
2236,brigádnice,N
2237,brigádnický,A
2238,brigádničit,V
2239,brigádní,A
2240,brigádník,N
2241,brigádně,D
2242,briketa,N
2243,brilantně,D
2244,brilantní,A
2245,briliant,N
2246,briliantový,A
2247,brko,N
2248,brloh,N
2249,brnkačka,N
2250,brnkat,N
2251,brnění,N
2252,brod,N
2253,brodit,V
2254,brodění,N
2255,brojit,V
2256,brok,N
2257,brokolice,N
2258,brokovnice,N
2259,bronchitida,N
2260,bronz,N
2261,bronzer,N
2262,broskvoň,N
2263,brouk,N
2264,brousek,N
2265,brousit,V
2266,brouzdaliště,N
2267,brouzdat,V
2268,brouzdání,N
2269,brouček,N
2270,broušení,N
2271,brož,N
2272,brožovaný,A
2273,brožura,N
2274,brožurka,N
2275,brtnice,N
2276,brusinka,N
2277,brusinkový,A
2278,bruslař,N
2279,bruslařka,N
2280,bruslařský,A
2281,brusle,N
2282,bruslení,N
2283,bruslit,V
2284,bruslící,A
2285,brusný,A
2286,brusírna,N
2287,brut,N
2288,brutalita,N
2289,brutální,A
2290,brutálně,D
2291,bručoun,N
2292,brva,N
2293,brynza,N
2294,bryčka,N
2295,brzda,N
2296,brzdař,N
2297,brzdit,V
2298,brzdný,A
2299,brzdový,A
2300,brzdící,A
2301,brzdění,N
2302,brzký,A
2303,brácha,N
2304,brána,N
2305,bránice,N
2306,bránit,V
2307,bránící,A
2308,bránění,N
2309,brázda,N
2310,brázdit,V
2311,bráška,N
2312,brýlatý,A
2313,brýle,N
2314,brýlový,A
2315,brčko,N
2316,brždění,N
2317,buben,N
2318,bubenice,N
2319,bubeník,N
2320,bublající,A
2321,bublat,V
2322,bublifuk,N
2323,bublina,N
2324,bublinka,N
2325,bublinkový,A
2326,bublinový,A
2327,bubnování,N
2328,bubák,N
2329,bubínek,N
2330,buchlovický,A
2331,buchta,N
2332,buclatý,A
2333,budit,V
2334,buditel,N
2335,budka,N
2336,budoucnost,N
2337,budoucí,A
2338,budova,N
2339,budovaný,A
2340,budovat,V
2341,budovatel,N
2342,budovatelský,A
2343,budoár,N
2344,budující,A
2345,budící,A
2346,budík,N
2347,budíček,N
2348,bufet,N
2349,bujarý,A
2350,bujení,N
2351,bujet,V
2352,bujný,A
2353,bujně,D
2354,bujon,N
2355,bujón,N
2356,bukový,A
2357,bukvice,N
2358,bula,N
2359,buldozer,N
2360,buldoček,N
2361,buldočí,A
2362,buldok,N
2363,bulgur,N
2364,bulimie,N
2365,bulva,N
2366,bulvár,N
2367,buly,N
2368,bunda,N
2369,bundička,N
2370,bungalov,N
2371,bunkr,N
2372,buněčný,A
2373,buran,N
2374,burcovat,V
2375,burcující,A
2376,burger,N
2377,burka,N
2378,burleska,N
2379,burza,N
2380,burzovní,A
2381,burácení,N
2382,burácet,V
2383,burák,N
2384,burčák,N
2385,burčákový,A
2386,buržoazie,N
2387,buržoazní,A
2388,busta,N
2389,butik,N
2390,buxus,N
2391,buzení,N
2392,buzola,N
2393,bučení,N
2394,bučet,V
2395,bučina,N
2396,buňka,N
2397,buřinka,N
2398,buřt,N
2399,buřtík,N
2400,bušení,N
2401,bušit,V
2402,bušící,A
2403,bydlení,N
2404,bydlet,V
2405,bydliště,N
2406,bydlící,A
2407,bylina,N
2408,bylinka,N
2409,bylinkový,A
2410,bylinkář,N
2411,bylinný,A
2412,byrokracie,N
2413,byrokrat,N
2414,byrokratický,A
